date,index1,index2,loss_profits,pred_date,prediction,real,0.586614173,4.559060409,-4.567475718,24.95000033,-23.54999949
2017-12-29,325.65,328.95,3.300000031,2018-01-05,0.060558774,1.171777368,,,,,
2018-01-01,325.65,331.25,-5.600000042,2018-01-08,-0.554857612,1.961733818,,,,,
2018-01-02,326.5,330.45,-3.950000019,2018-01-09,-0.535899103,1.387665391,,,,,
2018-01-03,327.7,327.85,-0.149999998,2018-01-10,-1.155782461,0.048384264,,,,,
2018-01-04,325,326.5,-1.500000019,2018-01-11,-0.244105011,0.480627924,,,,,
2018-01-05,328.95,326.8500001,2.099999935,2018-01-12,-0.964760661,-0.617141485,,,,,
2018-01-08,331.25,327.3,3.949999956,2018-01-15,-0.878628492,-1.028796434,,,,,
2018-01-09,330.45,330.5,-0.05,2018-01-16,-0.624226451,0.012312402,,,,,
2018-01-10,327.85,329.2,1.350000018,2018-01-17,0.03033294,0.326308995,,,,,
2018-01-11,326.5,329.4,2.900000008,2018-01-18,0.334150225,0.695998669,,,,,
2018-01-12,326.85,329.6000001,2.750000058,2018-01-19,0.791139483,0.657551408,,,,,
2018-01-15,327.3,326.25,-1.049999986,2018-01-22,0.452799916,-0.24861744,,,,,
2018-01-16,330.5,331.25,0.749999975,2018-01-23,0.276989609,0.170231074,,,,,
2018-01-17,329.2,331.6,2.399999951,2018-01-24,0.031456739,0.535458148,,,,,
2018-01-18,329.4,334.2999999,4.899999929,2018-01-25,0.007913097,1.198952556,,,,,
2018-01-19,329.6,335.9500001,6.350000127,2018-01-26,0.170694605,1.691249371,,,,,
2018-01-22,326.25,338.5000003,12.25000033,2018-01-29,1.00942111,3.775566816,,,,,
2018-01-23,331.25,333.8999999,-2.649999872,2018-01-30,-0.352563709,1.059462547,,,,,
2018-01-24,331.6,334.4499999,-2.849999906,2018-01-31,-0.428859591,1.325981498,,,,,
2018-01-25,334.3,333.65,0.649999974,2018-02-01,-0.393479019,-0.263610512,,,,,
2018-01-26,335.95,327.4000002,8.54999975,2018-02-02,-0.30294022,-2.985862494,,,,,
2018-01-29,338.5,323.0000003,15.49999967,2018-02-05,-0.973553538,-4.514948845,,,,,
2018-01-30,333.9,317.6499996,16.25000045,2018-02-06,-0.10873694,-4.691737652,,,,,
2018-01-31,334.45,309.4999997,24.95000033,2018-02-07,-0.443781793,-7.040531158,,,,,
2018-02-01,333.65,312.5000006,21.14999938,2018-02-08,-0.531718135,-6.28208971,,,,,
2018-02-02,327.4,303.8500005,-23.54999949,2018-02-09,0.606199503,-6.864226818,,,,,
2018-02-05,323,308.0999999,-14.90000008,2018-02-12,1.422509789,-3.874452114,,,,,
2018-02-06,317.65,311.4,-6.250000032,2018-02-13,1.876718998,-1.305848122,,,,,
2018-02-07,309.5,314.3,4.800000003,2018-02-14,1.357823849,0.728418052,,,,,
2018-02-08,312.5,314.3,1.799999979,2018-02-15,0.22122322,0.239113495,,,,,
2018-02-09,303.85,314.3000001,10.45000013,2018-02-16,0.394229829,1.125316262,,,,,
2018-02-12,308.1,316.2500002,8.150000202,2018-02-19,0.003970019,0.799037337,,,,,
2018-02-13,311.4,312,0.600000004,2018-02-20,0.299905717,0.056372505,,,,,
2018-02-14,314.3,314.05,-0.250000003,2018-02-21,0.702032745,-0.023023084,,,,,
2018-02-15,314.3,311.8499999,-2.450000069,2018-02-22,0.81091404,-0.222498879,,,,,
2018-02-16,314.3,316.9500001,2.650000078,2018-02-23,0.677324772,0.238704264,,,,,
2018-02-19,316.25,317.1,0.850000007,2018-02-26,0.315404981,0.076141551,,,,,
2018-02-20,312,315.7499999,3.749999877,2018-02-27,0.074322395,0.335370332,,,,,
2018-02-21,314.05,312.45,-1.599999982,2018-02-28,1.112766743,-0.145163864,,,,,
2018-02-22,311.85,312.45,0.599999999,2018-03-01,0.23727037,0.056195933,,,,,
2018-02-23,316.95,308.1500003,-8.799999723,2018-03-02,0.132108778,-0.885163069,,,,,
