date,index1,index2,loss_profits,pred_date,prediction,real,0.562992126,4.074825184,-5.20229358
2017-12-11,321.5,324.1499999,-2.649999913,2017-12-18,-0.273896575,0.824261248,,,
2017-12-12,320.45,323.8500001,3.400000061,2017-12-19,1.260375738,1.061007977,,,
2017-12-13,322.85,323.55,0.700000008,2017-12-20,1.09462285,0.216818959,,,
2017-12-14,324.3,316.8500004,-7.449999639,2017-12-21,1.256712437,-2.297255516,,,
2017-12-15,322.75,318.4999999,4.250000081,2017-12-22,-0.083308555,-1.316808701,,,
2017-12-18,324.15,318.5000001,-5.649999903,2017-12-25,0.393075138,-1.743020177,,,
2017-12-19,323.85,317.4499999,-6.40000009,2017-12-26,0.598521411,-1.976223588,,,
2017-12-20,323.55,321.2,2.349999966,2017-12-27,-0.038860489,-0.726317406,,,
2017-12-21,316.85,325.6500001,8.800000074,2017-12-28,0.422338575,2.777339458,,,
2017-12-22,318.5,325.6499996,7.149999628,2017-12-29,0.577834368,2.244897842,,,
2017-12-25,318.5,325.6499996,7.149999628,2018-01-01,0.844308138,2.244897842,,,
2017-12-26,317.45,326.5000002,9.050000197,2018-01-02,0.131402701,2.850842714,,,
2017-12-27,321.2,327.7000003,-6.500000337,2018-01-03,-0.216942146,2.023661375,,,
2017-12-28,325.65,325,0.650000008,2018-01-04,-0.188168168,-0.199600801,,,
2017-12-29,325.65,328.9499999,-3.299999929,2018-01-05,-1.25945425,1.013357878,,,
2018-01-01,325.65,331.2499999,-5.59999995,2018-01-08,-1.875725746,1.719637632,,,
2018-01-02,326.5,330.4500001,-3.95000013,2018-01-09,-2.492244482,1.209800959,,,
2018-01-03,327.7,327.85,-0.149999999,2018-01-10,-2.981998444,0.045773573,,,
2018-01-04,325,326.5,-1.500000007,2018-01-11,-0.457567602,0.461538464,,,
2018-01-05,328.95,326.85,2.099999998,2018-01-12,-1.969093442,-0.638394892,,,
2018-01-08,331.25,327.3000001,3.949999861,2018-01-15,-1.30512929,-1.192452788,,,
2018-01-09,330.45,330.5,-0.05,2018-01-16,-0.432365924,0.015130882,,,
2018-01-10,327.85,329.2,1.350000015,2018-01-17,0.123418555,0.411773682,,,
2018-01-11,326.5,329.4,2.900000002,2018-01-18,0.754239976,0.88820827,,,
2018-01-12,326.85,329.6000001,2.750000073,2018-01-19,0.101825856,0.841364563,,,
2018-01-15,327.3,326.25,1.049999978,2018-01-22,-0.836366832,-0.320806593,,,
2018-01-16,330.5,331.25,0.749999981,2018-01-23,0.278393835,0.22692889,,,
2018-01-17,329.2,331.6,-2.399999964,2018-01-24,-0.217484802,0.729040086,,,
2018-01-18,329.4,334.3,-4.899999976,2018-01-25,-1.149783373,1.48755312,,,
2018-01-19,329.6,335.9500001,-6.350000057,2018-01-26,-0.467975736,1.926577687,,,
2018-01-22,326.25,338.5000003,12.25000026,2018-01-29,0.785541952,3.754789352,,,
2018-01-23,331.25,333.9,-2.650000039,2018-01-30,-0.104086898,0.800000012,,,
2018-01-24,331.6,334.45,-2.849999983,2018-01-31,-2.037893772,0.859469235,,,
2018-01-25,334.3,333.65,0.649999992,2018-02-01,-2.129324436,-0.194436133,,,
2018-01-26,335.95,327.4000002,8.549999843,2018-02-02,-0.865428746,-2.545021534,,,
2018-01-29,338.5,322.9999995,15.50000053,2018-02-05,-0.157222524,-4.579025269,,,
2018-01-30,333.9,317.6500006,-16.24999944,2018-02-06,0.264029473,-4.866726398,,,
2018-01-31,334.45,309.4999996,-24.95000043,2018-02-07,0.671998918,-7.460009098,,,
2018-02-01,333.65,312.5000005,-21.14999948,2018-02-08,0.237317488,-6.338977814,,,
2018-02-02,327.4,303.8499999,-23.55000012,2018-02-09,1.579602242,-7.193036079,,,
2018-02-05,323,308.0999995,-14.90000051,2018-02-12,1.501311302,-4.613003254,,,
2018-02-06,317.65,311.4000001,-6.249999948,2018-02-13,2.2655828,-1.967574358,,,
2018-02-07,309.5,314.3,4.800000026,2018-02-14,2.641420603,1.550888538,,,
2018-02-08,312.5,314.2999999,1.799999923,2018-02-15,1.465237021,0.575999975,,,
2018-02-09,303.85,314.3000003,-10.45000028,2018-02-16,-0.304606944,3.439197063,,,
2018-02-12,308.1,316.2500001,8.150000077,2018-02-19,0.14514868,2.645245075,,,
2018-02-13,311.4,312,0.600000002,2018-02-20,1.022537231,0.192678228,,,
2018-02-14,314.3,314.05,-0.250000002,2018-02-21,1.279872179,-0.07954184,,,
2018-02-15,314.3,311.85,-2.449999997,2018-02-22,1.565760255,-0.779510021,,,
2018-02-16,314.3,316.9500001,2.650000092,2018-02-23,2.163679123,0.843143523,,,
2018-02-19,316.25,317.1,0.850000046,2018-02-26,1.021198273,0.268774718,,,
2018-02-20,312,315.7500002,3.750000172,2018-02-27,1.237784624,1.201923132,,,
2018-02-21,314.05,312.45,1.600000038,2018-02-28,-0.410990655,-0.509473026,,,
2018-02-22,311.85,312.45,0.599999984,2018-03-01,0.918222487,0.192400187,,,
2018-02-23,316.95,308.1499997,8.800000335,2018-03-02,-1.420208931,-2.77646327,,,
2018-02-26,317.1,303.8500001,-13.24999986,2018-03-05,0.506364286,-4.178492546,,,
2018-02-27,315.75,310.3000001,-5.449999925,2018-03-06,0.009205861,-1.726049066,,,
2018-02-28,312.45,310.4500001,1.999999907,2018-03-07,-0.759640276,-0.640102386,,,
2018-03-01,312.45,313.6,-1.150000002,2018-03-08,-1.965743303,0.36805889,,,
2018-03-02,308.15,317.1,-8.950000041,2018-03-09,-1.081318259,2.904429674,,,
2018-03-05,303.85,320.0999996,16.24999957,2018-03-12,0.398324281,5.348033428,,,
2018-03-06,310.3,321.5000001,-11.20000012,2018-03-13,-1.334541202,3.609410286,,,
2018-03-07,310.45,321.5499999,-11.09999989,2018-03-14,-0.376632243,3.57545495,,,
2018-03-08,313.6,322.8500001,9.250000122,2018-03-15,0.394782096,2.949617386,,,
2018-03-09,317.1,322,-4.900000031,2018-03-16,-0.074002273,1.545253873,,,
2018-03-12,320.1,319.85,0.249999995,2018-03-19,-0.08571396,-0.078100592,,,
2018-03-13,321.5,321.3,-0.200000003,2018-03-20,0.319488913,-0.062208399,,,
2018-03-14,321.55,321.6,-0.05,2018-03-21,-0.20220083,0.015549681,,,
2018-03-15,322.85,322.1,0.749999981,2018-03-22,-0.546767414,-0.232306018,,,
2018-03-16,322,311.5000002,10.4999998,2018-03-23,-0.076041989,-3.260869503,,,
2018-03-19,319.85,314.5000001,5.349999938,2018-03-26,-0.837633431,-1.672659039,,,
2018-03-20,321.3,315.15,6.150000016,2018-03-27,-0.788170397,-1.914098978,,,
2018-03-21,321.6,310.6500001,10.94999992,2018-03-28,-0.991328657,-3.404850721,,,
2018-03-22,322.1,314.4499998,7.650000175,2018-03-29,-2.930975437,-2.375038862,,,
2018-03-23,311.5,314.5500001,3.050000069,2018-03-30,1.246919513,0.979133248,,,
2018-03-26,314.5,313.45,1.050000041,2018-04-02,-0.555372357,-0.333863288,,,
2018-03-27,315.15,312.8000001,2.349999921,2018-04-03,-2.33216095,-0.745676637,,,
2018-03-28,310.65,307.5499999,3.100000079,2018-04-04,-1.727806807,-0.997907639,,,
2018-03-29,314.45,312.95,1.499999965,2018-04-05,-0.625403881,-0.477023363,,,
2018-03-30,314.55,311.1999999,-3.350000052,2018-04-06,0.440612286,-1.065013528,,,
2018-04-02,313.45,312.95,0.49999998,2018-04-09,-0.121824898,-0.159515068,,,
2018-04-03,312.8,313.45,-0.649999988,2018-04-10,-1.54191494,0.207800508,,,
2018-04-04,307.55,312.4500002,4.900000157,2018-04-11,1.127604008,1.593236923,,,
2018-04-05,312.95,311.75,-1.199999971,2018-04-12,1.427744865,-0.383447826,,,
2018-04-06,311.2,314.4499999,3.249999851,2018-04-13,0.747495592,1.044344425,,,
2018-04-09,312.95,314.3,1.349999991,2018-04-16,0.393834978,0.431378812,,,
2018-04-10,313.45,314.4,0.950000033,2018-04-17,1.364530563,0.303078651,,,
2018-04-11,312.45,317.5999999,5.149999908,2018-04-18,1.694362998,1.648263693,,,
2018-04-12,311.75,318.9999997,7.249999741,2018-04-19,2.528275013,2.325581312,,,
2018-04-13,314.45,316.9000001,2.450000093,2018-04-20,0.175523832,0.779138207,,,
2018-04-16,314.3,317.1,2.800000023,2018-04-23,1.913671017,0.890868604,,,
