date,index_pred,index_real,index_today,loss_profits,pred_date,prediction,real
2018-03-07,316.30052728652953,313.7499999523163,310.45,3.299999952316284,2018-06-06,5.850527286529541,3.299999952316284
2018-03-08,316.739132976532,316.85,313.6,3.25,2018-06-07,3.1391329765319824,3.25
2018-03-09,320.11607990264895,313.30000004768374,317.1,-3.799999952316284,2018-06-08,3.016079902648926,-3.799999952316284
2018-03-12,323.21504793167117,316.1499999523163,320.1,-3.950000047683716,2018-06-11,3.1150479316711426,-3.950000047683716
2018-03-13,323.01301658153534,315.65000009536743,321.5,-5.849999904632568,2018-06-12,1.5130165815353394,-5.849999904632568
2018-03-14,321.00387661457063,315.6499999046326,321.55,5.900000095367432,2018-06-13,-0.5461233854293823,-5.900000095367432
2018-03-15,323.0922646582127,310.4000001907349,322.85,-12.449999809265137,2018-06-14,0.24226465821266174,-12.449999809265137
2018-03-16,322.3456952869892,309.19999980926514,322.0,-12.800000190734863,2018-06-15,0.34569528698921204,-12.800000190734863
2018-03-19,322.92978343963625,305.85,319.85,-14.0,2018-06-18,3.0797834396362305,-14.0
2018-03-20,323.75636129379274,301.34999923706056,321.3,-19.950000762939453,2018-06-19,2.4563612937927246,-19.950000762939453
2018-03-21,320.4904803991318,304.20000038146975,321.6,17.399999618530273,2018-06-20,-1.109519600868225,-17.399999618530273
2018-03-22,324.34026131629946,300.7499996185303,322.1,-21.350000381469727,2018-06-21,2.2402613162994385,-21.350000381469727
2018-03-23,322.37775802612305,303.65000009536743,311.5,-7.849999904632568,2018-06-22,10.877758026123047,-7.849999904632568
2018-03-26,327.45841789245605,303.25,314.5,-11.25,2018-06-25,12.958417892456055,-11.25
2018-03-27,319.7791856765747,302.4,315.15,-12.75,2018-06-26,4.629185676574707,-12.75
2018-03-28,317.05151929855344,301.54999961853025,310.65,-9.100000381469727,2018-06-27,6.401519298553467,-9.100000381469727
2018-03-29,313.5026394844055,299.09999961853026,314.45,15.350000381469727,2018-06-28,-0.9473605155944824,-15.350000381469727
2018-03-30,318.01581315994264,299.99999980926515,314.55,-14.550000190734863,2018-06-29,3.465813159942627,-14.550000190734863
2018-04-02,312.5040738105774,292.90000076293944,313.45,20.549999237060547,2018-07-02,-0.9459261894226074,-20.549999237060547
2018-04-03,312.14096598625184,293.75000076293946,312.8,19.049999237060547,2018-07-03,-0.659034013748169,-19.049999237060547
2018-04-04,308.9361736059189,292.55,307.55,-15.0,2018-07-04,1.3861736059188843,-15.0
2018-04-05,311.59943480491637,291.99999923706054,312.95,20.950000762939453,2018-07-05,-1.3505651950836182,-20.950000762939453
2018-04-06,311.1793373942375,293.59999961853026,311.2,17.600000381469727,2018-07-06,-0.02066260576248169,-17.600000381469727
2018-04-09,312.29420412778853,296.24999923706054,312.95,16.700000762939453,2018-07-09,-0.6557958722114563,-16.700000762939453
2018-04-10,311.27990288734435,296.95,313.45,16.5,2018-07-10,-2.1700971126556396,-16.5
2018-04-11,313.38714690208434,295.3000003814697,312.45,-17.149999618530273,2018-07-11,0.9371469020843506,-17.149999618530273
2018-04-12,310.72528767585754,296.0,311.75,15.75,2018-07-12,-1.024712324142456,-15.75
2018-04-13,312.7275626182556,299.09999961853026,314.45,15.350000381469727,2018-07-13,-1.7224373817443848,-15.350000381469727
2018-04-16,311.7396188259125,298.1999996185303,314.3,16.100000381469727,2018-07-16,-2.5603811740875244,-16.100000381469727
2018-04-17,314.31315221786497,297.35000076293943,314.4,17.049999237060547,2018-07-17,-0.08684778213500977,-17.049999237060547
2018-04-18,317.8465814650059,297.0500007629395,317.6,-20.549999237060547,2018-07-18,0.24658146500587463,-20.549999237060547
2018-04-19,316.7724027633667,296.04999923706055,319.0,22.950000762939453,2018-07-19,-2.227597236633301,-22.950000762939453
accuracy, RMSE
0.2786885245901639, 13.794912
